Compound_ID,DrugBank,IUPHAR,KEGG,Protein_ID,Label
150610,TRUE,,,P45059,1
150610,TRUE,,,P44469,1
150610,TRUE,,,P02919,0
150610,TRUE,,,P02918,0
150610,TRUE,,,P24228,0
150610,TRUE,,,P0AD68,0
150610,TRUE,,,P0AD65,0
150610,TRUE,,,P08506,0
5362065,TRUE,,,P44469,0
42008,TRUE,,,P02919,0
42008,TRUE,,,P02918,1
42008,TRUE,,,P0AD68,0
42008,TRUE,,,P08506,0
42008,TRUE,,,P0AEB2,1
42008,TRUE,,,C1KC03,1
636405,TRUE,,,P02919,1
636405,TRUE,,,P02918,0
636405,TRUE,,,P0AD68,0
636405,TRUE,,,P08506,0
636405,TRUE,,,C1KC03,1
636405,TRUE,,,Q07806,1
636405,TRUE,,,Q9X6W0,1
5481173,TRUE,,,P02919,0
5481173,TRUE,,,P02918,1
5481173,TRUE,,,P0AD68,0
5481173,TRUE,,,P0AD65,1
5481173,TRUE,,,Q9X6W0,0
5481173,TRUE,,,Q8DR59,0
5481173,TRUE,,,Q75Y35,0
5481173,TRUE,,,Q9X6V3,0
5481173,TRUE,,,P72161,0
33255,TRUE,,,P02919,0
33255,TRUE,,,P02918,0
33255,TRUE,,,P0AD68,1
33255,TRUE,,,P0AD65,0
33255,TRUE,,,P27169,0
33255,TRUE,,,P60568,0
33255,TRUE,,,P40933,0
33255,TRUE,,,P76577,1
43594,TRUE,,,P02919,0
43594,TRUE,,,P02918,0
43594,TRUE,,,P24228,0
43594,TRUE,,,P0AD68,0
43594,TRUE,,,P0AD65,0
44185,TRUE,,,P02919,0
44185,TRUE,,,P02918,0
44185,TRUE,,,P24228,1
44185,TRUE,,,P0AD68,1
44185,TRUE,,,P0AD65,1
44185,TRUE,,,P08506,0
44185,TRUE,,,P0AEB2,1
44185,TRUE,,,Q07806,0
44185,TRUE,,,Q9X6W0,0
441199,TRUE,,,P02919,1
441199,TRUE,,,P02918,0
441199,TRUE,,,P24228,1
441199,TRUE,,,P0AD68,1
441199,TRUE,,,P08506,0
441199,TRUE,,,Q8DNB6,0
441199,TRUE,,,P0AEB2,0
441199,TRUE,,,Q8DR59,0
441199,TRUE,,,Q75Y35,0
441199,TRUE,,,P0A3M6,0
441199,TRUE,,,Q7CRA4,1
441199,TRUE,,,P0AFI5,0
6533629,TRUE,,,P02919,0
6533629,TRUE,,,P02918,0
6533629,TRUE,,,P0AD68,0
6533629,TRUE,,,Q53707,0
91562,TRUE,,,P02919,0
91562,TRUE,,,P02918,0
5282242,TRUE,,,P02919,0
5282242,TRUE,,,P02918,0
5282242,TRUE,,,P0AD68,0
5282242,TRUE,,,P0AD65,1
104838,TRUE,,,P02919,1
104838,TRUE,,,P02918,0
104838,TRUE,,,P0AD65,1
104838,TRUE,,,P42971,0
104838,TRUE,,,P72355,0
47499,TRUE,,,P02919,0
47499,TRUE,,,P02918,1
47499,TRUE,,,P24228,1
47499,TRUE,,,P42971,0
73303,TRUE,,,P02919,0
73303,TRUE,,,P02918,1
73303,TRUE,,,P0AD65,1
73303,TRUE,,,Q51504,0
73303,TRUE,,,P72355,0
5284529,TRUE,,,P02919,1
53234134,TRUE,,,P02919,0
53234134,TRUE,,,P02918,0
53234134,TRUE,,,P24228,1
53234134,TRUE,,,P0AD68,0
53234134,TRUE,,,P0AD65,0
53234134,TRUE,,,P08506,0
53234134,TRUE,,,Q51504,0
53234134,TRUE,,,P0AEB2,0
53234134,TRUE,,,Q9X6W0,0
53234134,TRUE,,,P76577,1
20824,TRUE,,,P02919,0
20824,TRUE,,,P02918,1
20824,TRUE,,,P24228,0
20824,TRUE,,,P0AD68,0
20824,TRUE,,,P0AD65,0
20824,TRUE,,,P08506,1
20824,TRUE,,,P0AEB2,0
DB09319,TRUE,,,P02919,1
DB09319,TRUE,,,P02918,0
DB09319,TRUE,,,P24228,0
DB09319,TRUE,,,P0AD68,0
DB09319,TRUE,,,P0AD65,0
DB09319,TRUE,,,P08506,1
DB09319,TRUE,,,P0AEB2,0
38103,TRUE,,,P02918,0
6869,TRUE,,,P24228,0
6869,TRUE,,,P46059,0
6869,TRUE,,,Q8XJ01,1
6869,TRUE,,,Q53707,1
6869,TRUE,,,P12256,1
441130,TRUE,,,P24228,1
DB14879,TRUE,,,P24228,1
DB14879,TRUE,,,Q51504,0
DB14879,TRUE,,,Q07806,0
DB14879,TRUE,,,Q9X6W0,1
DB14879,TRUE,,,Q9X6V3,0
9570757,TRUE,,,P0AD68,1
9570757,TRUE,,,Q8XJ01,0
12993649,TRUE,,,P0AD68,0
12993649,TRUE,,,P14677,0
12993649,TRUE,,,Q7DHH4,1
5479537,TRUE,,,P0AD68,1
5479537,TRUE,,,P0AD65,1
5479537,TRUE,,,Q51504,0
5479537,TRUE,,,Q9X6V3,1
6335986,TRUE,,,P0AD68,1
656511,TRUE,,,P0AD65,1
656511,TRUE,,,Q8XJ01,1
656511,TRUE,,,Q75Y35,1
36273,TRUE,,,P0AD65,1
36273,TRUE,,,Q8DNB6,1
36273,TRUE,,,Q8DR59,0
36273,TRUE,,,Q75Y35,0
36273,TRUE,,,P0A3M6,0
36273,TRUE,,,Q7CRA4,0
1051,TRUE,,,P19113,0
1051,TRUE,,,P06737,0
1051,TRUE,,,Q9Y600,0
1051,TRUE,,,Q9BYV1,1
1051,TRUE,,,Q9Y697,0
1051,TRUE,,,P20132,0
1051,TRUE,,,Q9NVS9,1
1051,TRUE,,,P80404,0
1051,TRUE,,,Q16773,1
1051,TRUE,,,Q96GD0,0
1051,TRUE,,,P34897,0
1051,TRUE,,,P21549,0
1051,TRUE,,,P35520,1
1051,TRUE,,,P34896,1
1051,TRUE,,,Q99259,1
1051,TRUE,,,P00505,0
1051,TRUE,,,Q9GZT4,0
1051,TRUE,,,Q16719,1
1051,TRUE,,,P11926,0
1051,TRUE,,,P13196,1
1051,TRUE,,,P04181,1
1051,TRUE,,,O15269,0
1051,TRUE,,,Q96A70,0
1051,TRUE,,,Q8IYQ7,1
1051,TRUE,,,P54687,0
1051,TRUE,,,O75600,0
1051,TRUE,,,P17174,0
1051,TRUE,,,Q9Y617,1
1051,TRUE,,,P23378,1
1051,TRUE,,,O15270,1
1051,TRUE,,,P24298,1
1051,TRUE,,,P17735,0
1051,TRUE,,,O15382,0
1051,TRUE,,,Q8N5Z0,0
1051,TRUE,,,O95470,0
1051,TRUE,,,P32929,1
1051,TRUE,,,O95954,0
1051,TRUE,,,P22557,0
1051,TRUE,,,P11217,0
1051,TRUE,,,O94903,1
1051,TRUE,,,P11216,0
1051,TRUE,,,P20711,1
1051,TRUE,,,Q2TU84,0
1051,TRUE,,,Q53ET4,0
1051,TRUE,,,Q59FK2,1
1051,TRUE,,,Q59GM9,1
1051,TRUE,,,Q59HE2,1
1051,TRUE,,,Q5JAM2,0
1051,TRUE,,,Q5VZ30,0
1051,TRUE,,,Q6IBS8,1
1051,TRUE,,,Q6P996,0
1051,TRUE,,,Q6YP21,1
1051,TRUE,,,Q6ZQY3,1
1051,TRUE,,,Q8IUZ5,1
1051,TRUE,,,Q8IVA8,0
1051,TRUE,,,Q8TD30,0
1051,TRUE,,,Q96EN8,0
1051,TRUE,,,Q96GA7,0
1051,TRUE,,,Q9BXA1,1
1051,TRUE,,,Q9HD40,1
1051,TRUE,,,Q9NUV7,1
1051,TRUE,,,Q9UGI5,0
1051,TRUE,,,Q9UJX1,1
1051,TRUE,,,Q96I15,0
1051,TRUE,,,Q6WRI0,1
6274,TRUE,,,P19113,1
6274,TRUE,,,P42357,0
6274,TRUE,,,Q99624,0
6274,TRUE,,,P12081,0
6274,,TRUE,,P00915,1
6274,,TRUE,,Q9ULX7,0
6274,,TRUE,,P35218,1
6274,,TRUE,,P43166,0
6274,,TRUE,,Q8IY34,0
6274,,TRUE,,Q8N697,1
6274,,TRUE,,Q8WUX1,1
6083,TRUE,,,P06737,1
6083,TRUE,,,P11309,0
6083,TRUE,,,Q9Y478,1
6083,TRUE,,,Q08828,1
6083,TRUE,,,Q9NR19,0
6083,TRUE,,,Q07343,0
6083,TRUE,,,P33121,0
6083,TRUE,,,Q13131,0
6083,TRUE,,,Q9NUB1,1
6083,TRUE,,,O43741,1
6083,TRUE,,,P16220,1
6083,TRUE,,,Q08499,0
6083,TRUE,,,P49773,0
6083,TRUE,,,P09467,1
6083,TRUE,,,P55263,1
6083,,TRUE,,Q8TD43,0
6083,,,TRUE,P30542,0
6083,,,TRUE,P29275,0
6083,,,TRUE,P29274,1
6083,,,TRUE,P0DMS8,0
445383,TRUE,,,P06737,1
445382,TRUE,,,P06737,1
445382,TRUE,,,P11217,1
64689,TRUE,,,P06737,1
64689,TRUE,,,P11217,1
64689,TRUE,,,P17802,0
64689,TRUE,,,P02144,0
64689,TRUE,,,P23219,1
64689,TRUE,,,P01574,0
64689,TRUE,,,P47929,1
64689,TRUE,,,P35557,0
64689,TRUE,,,P35247,1
64689,TRUE,,,P19367,1
64689,TRUE,,,O85465,1
64689,TRUE,,,P24300,0
64689,TRUE,,,P30920,1
64689,TRUE,,,P10844,1
64689,TRUE,,,P12528,0
64689,TRUE,,,P06971,1
64689,TRUE,,,Q46079,0
64689,TRUE,,,P15587,1
64689,TRUE,,,P37698,0
64689,TRUE,,,P07986,1
64689,TRUE,,,P05618,0
64689,TRUE,,,P00691,1
64689,TRUE,,,Q60053,0
64689,TRUE,,,P19571,0
64689,TRUE,,,P04958,1
64689,TRUE,,,Q08751,1
64689,TRUE,,,Q57366,1
64689,TRUE,,,P01556,1
64689,TRUE,,,P13507,1
64689,TRUE,,,P37700,1
64689,TRUE,,,Q07982,0
64689,TRUE,,,P46926,1
64689,TRUE,,,P29957,0
64689,TRUE,,,P23904,0
64689,TRUE,,,P04745,0
64689,TRUE,,,P00490,1
64689,TRUE,,,P13650,1
64689,TRUE,,,P00692,1
64689,TRUE,,,P26827,1
64689,TRUE,,,P69178,0
64689,TRUE,,,P36924,1
64689,TRUE,,,Q9BW91,0
64689,TRUE,,,P01552,0
64689,TRUE,,,P0AEX9,0
64689,TRUE,,,P0AEK4,1
64689,TRUE,,,P0C2S2,0
64689,TRUE,,,P0AEE5,1
64689,TRUE,,,P0C2S5,1
64689,TRUE,,,Q54331,1
64689,TRUE,,,P0AC38,1
64689,TRUE,,,Q79G13,1
64689,TRUE,,,Q48436,1
64689,TRUE,,,P04746,0
64689,TRUE,,,O82839,1
64689,TRUE,,,P0A6V8,1
64689,TRUE,,,Q9HYN5,1
64689,TRUE,,,Q9KG76,1
64689,TRUE,,,Q9WXN1,0
64689,TRUE,,,Q8GJ44,0
64689,TRUE,,,O07653,1
64689,TRUE,,,P14090,0
64689,TRUE,,,Q9ZEU2,0
64689,TRUE,,,Q9ZB17,1
64689,TRUE,,,P23827,0
64689,TRUE,,,Q9RX51,1
64689,TRUE,,,O34974,0
64689,TRUE,,,P40943,1
64689,TRUE,,,Q7SI98,0
64689,TRUE,,,Q47644,1
64689,TRUE,,,P49302,1
64689,TRUE,,,P02943,0
64689,TRUE,,,P54583,1
64689,TRUE,,,P23905,1
64689,TRUE,,,P38940,0
64689,TRUE,,,Q60037,1
64689,TRUE,,,P26466,0
64689,TRUE,,,Q26609,0
64689,TRUE,,,P05162,0
64689,TRUE,,,Q7WT42,1
64689,TRUE,,,P23340,0
64689,TRUE,,,P94622,1
64689,TRUE,,,P26221,0
64689,TRUE,,,Q6UWM7,1
64689,TRUE,,,P19961,1
64689,TRUE,,,Q6L8H2,1
64689,TRUE,,,Q701N4,0
64689,TRUE,,,Q7Z4J2,1
64689,TRUE,,,O14594,1
64689,TRUE,,,O60264,1
64689,TRUE,,,Q9BZZ2,0
46936633,TRUE,,,P06737,1
5287969,TRUE,,,P06737,1
5287969,TRUE,,,P11217,0
5287969,TRUE,,,P11216,1
5287969,TRUE,,,P00533,1
5287969,TRUE,,,Q00535,0
5287969,TRUE,,,P50750,1
5287969,TRUE,,,P49336,0
5287969,TRUE,,TRUE,P06493,1
5287969,TRUE,,TRUE,P50613,0
5287969,TRUE,,TRUE,Q00534,1
5287969,TRUE,TRUE,TRUE,P24941,0
5287969,TRUE,TRUE,TRUE,P11802,0
