Compound_ID,Protein_ID,Label
4095,Q14957,1
4095,Q12879,1
4054,O60391,1
4054,P14416,1
4054,P46098,1
4054,Q693P7,1
4054,P14867,1
4054,P47869,1
4054,P34903,1
4054,P48169,1
4054,P31644,1
4054,Q16445,1
4054,P18505,1
4054,P47870,0
4054,P28472,0
4054,O14764,0
4054,P78334,1
4054,Q8N1C3,1
4054,P18507,0
4054,Q99928,0
4054,O00591,0
4054,Q9UN88,0
4054,P23416,0
4054,Q5JXX5,0
4054,Q05586,0
4054,O15399,1
4054,Q13224,0
4054,Q14957,1
4054,Q12879,1
182137,O60391,0
182137,Q8TCU5,0
182137,P23560,0
182137,Q16620,1
182137,P13639,1
182137,Q05586,1
182137,O15399,1
182137,Q13224,0
182137,Q14957,1
182137,Q12879,1
71158,O60391,0
71158,Q8TCU5,1
71158,P14867,0
71158,P47869,0
71158,P34903,0
71158,P48169,1
71158,P31644,0
71158,Q16445,1
71158,P18505,0
71158,P47870,1
71158,P28472,1
71158,O14764,0
71158,P78334,0
71158,Q8N1C3,0
71158,P18507,1
71158,Q99928,0
71158,O00591,1
71158,Q9UN88,1
71158,P41594,1
71158,Q05586,1
71158,O15399,0
71158,Q13224,1
71158,Q14957,0
71158,Q12879,1
6450546,O60391,0
6450546,Q8TCU5,0
6450546,Q05586,1
6450546,O15399,1
6450546,Q13224,1
6450546,Q14957,0
6450546,Q12879,1
6102781,Q04609,1
25113157,Q04609,0
210320,Q04609,1
3226,P42261,0
3226,O15554,1
3226,P23415,1
3226,P48167,1
3226,P14867,1
3226,P47869,1
3226,P34903,1
3226,P48169,1
3226,P31644,0
3226,Q16445,0
3226,P18505,0
3226,P47870,1
3226,P28472,1
3226,O14764,0
3226,P78334,1
3226,Q8N1C3,1
3226,P18507,1
3226,Q99928,1
3226,O00591,0
3226,Q9UN88,0
3226,Q09470,1
3226,P98194,0
3226,P30049,1
3763,P42261,1
3763,P43681,0
3763,P23415,1
3763,P0DP23,1
3763,P14867,1
3763,P47869,1
3763,P34903,0
3763,P48169,1
3763,P31644,0
3763,Q16445,0
3763,P18505,0
3763,P47870,1
3763,P28472,1
3763,O14764,0
3763,P78334,1
3763,Q8N1C3,0
3763,P18507,1
3763,Q99928,0
3763,O00591,1
3763,Q9UN88,0
3763,P17787,1
3763,Q09470,1
3763,P98194,0
3763,P30049,0
3763,Q96T55,1
3763,O95069,0
3763,O54912,0
3763,Q6RI86,1
4116,P42261,1
4116,P03886,1
4116,P23415,1
4116,P14867,1
4116,P47869,0
4116,P34903,0
4116,P48169,0
4116,P31644,1
4116,Q16445,0
4116,P18505,1
4116,P47870,0
4116,P28472,1
4116,O14764,0
4116,P78334,1
4116,Q8N1C3,0
4116,P18507,1
4116,Q99928,1
4116,O00591,0
4116,Q9UN88,0
4116,Q09470,1
4116,P98194,0
4116,P30049,0
42113,P42261,1
42113,P03886,1
42113,P23415,0
42113,P14867,0
42113,P47869,1
42113,P34903,0
42113,P48169,1
42113,P31644,0
42113,Q16445,1
42113,P18505,0
42113,P47870,1
42113,P28472,0
42113,O14764,1
42113,P78334,1
42113,Q8N1C3,0
42113,P18507,1
42113,Q99928,1
42113,O00591,1
42113,Q9UN88,0
42113,Q09470,0
42113,P98194,0
42113,P30049,1
5206,P42261,1
5206,P03886,0
5206,P23415,1
5206,P14867,1
5206,P47869,1
5206,P34903,1
5206,P48169,1
5206,P31644,1
5206,Q16445,0
5206,P18505,0
5206,P47870,1
5206,P28472,1
5206,O14764,1
5206,P78334,0
5206,Q8N1C3,1
5206,P18507,0
5206,Q99928,0
5206,O00591,1
5206,Q9UN88,0
5206,Q09470,1
5206,P98194,0
5206,P30049,1
68870,P42261,0
68870,P08908,0
68870,P35372,0
68870,P35462,0
702,P42261,0
702,Q8TCU5,0
702,P42262,1
702,P48058,0
702,P42263,1
702,Q13936,0
702,Q01668,1
702,P43681,1
702,P23415,1
702,Q02641,0
702,Q13698,0
702,P46098,1
702,P36544,1
702,P14867,0
702,P47869,0
702,P34903,1
702,P48169,1
702,P31644,1
702,Q16445,1
702,P18505,0
702,P47870,1
702,P28472,0
702,O14764,0
702,P78334,0
702,Q8N1C3,0
702,Q99928,0
702,O00591,0
702,Q9UN88,0
702,Q99808,0
702,O95264,1
702,Q9GZZ6,1
702,Q15822,0
702,P17787,0
702,P23416,1
702,Q06432,1
702,P30926,1
702,P32297,0
702,P19320,0
702,P48549,0
702,P48051,0
702,Q92806,1
702,Q9Y698,0
702,Q8WXA8,0
702,Q70Z44,0
702,A5X5Y0,1
702,P48544,0
702,Q9UGM1,1
702,P30532,1
702,Q15825,1
702,Q05901,0
702,Q14542,1
702,P32004,1
702,P23979,0
702,P63250,0
702,P48545,0
DB05047,P42261,0
DB05047,P42262,1
DB05047,P48058,0
DB05047,P42263,0
DB05047,P23560,1
DB06247,P42261,0
3821,Q8TCU5,0
3821,P29475,0
3821,P14416,1
3821,P11229,0
3821,P08172,0
3821,P20309,1
3821,P08173,0
3821,P08912,0
3821,P08908,0
3821,P46098,1
3821,P41143,1
3821,P28223,1
3821,P35372,1
3821,P25103,1
3821,P23975,0
3821,P28335,1
3821,P41145,1
3821,Q693P7,1
3821,P28566,1
3821,P28221,1
3821,P28222,0
3821,P41595,1
3821,P30939,0
3821,P06276,0
3821,Q05586,0
3821,Q12879,0
3821,Q13224,1
3821,Q14957,0
3821,O15399,1
3290,Q8TCU5,1
3290,P08482,0
3290,P10980,1
3290,P20309,1
3290,P08173,1
3290,P08912,1
3290,P11229,0
3290,P08172,0
5360696,Q8TCU5,0
5360696,P43681,0
5360696,P41143,1
5360696,P35372,0
5360696,P36544,1
5360696,P23975,0
5360696,P41145,1
5360696,P31645,0
5360696,Q15822,1
5360696,O00264,1
5360696,P17787,0
5360696,P63000,1
5360696,P30926,0
5360696,P32297,0
5360696,Q5T1J1,1
5360696,P04839,0
5360696,P13498,1
5360696,P14598,0
5360696,P19878,0
5360696,Q15080,1
5360696,P15153,0
5360696,Q05586,1
5360696,Q12879,0
5360696,Q13224,0
5360696,O15399,1
5360696,Q14957,0
5360696,Q99720,1
6468,Q8TCU5,1
6468,Q99720,1
6468,Q12879,1
6468,Q13224,1
6468,Q14957,0
6468,O15399,0
4914,Q8TCU5,1
4914,O15554,0
4914,Q12791,1
4914,Q9Y691,1
4914,Q16558,0
4914,Q9NPA1,1
4914,Q86W47,1
4914,Q92952,1
4914,Q9H2S1,1
4914,Q9UGI6,0
4914,P27338,0
4914,P21397,0
4914,P46098,1
4914,P47712,1
4914,Q01959,0
4914,Q15822,1
4914,Q86U10,1
4914,P21817,1
4914,Q92736,1
4914,P35498,0
4914,Q99250,0
4914,Q9NY46,0
4914,P35499,0
4914,Q14524,0
4914,Q9UQD0,1
4914,Q15858,0
4914,Q9UI33,0
4914,Q9Y5Y9,1
8612,Q8TCU5,0
8612,P46098,1
8612,Q01959,0
8612,Q9GZZ6,1
8612,P35498,0
8612,Q99250,1
8612,Q9NY46,0
8612,P35499,1
8612,Q14524,1
8612,Q9UQD0,1
8612,Q15858,1
8612,Q9UI33,0
8612,Q9Y5Y9,0
2130,Q8TCU5,1
2130,P43681,1
2130,P14416,1
2130,P36544,1
2130,P32297,0
2130,P21430,1
2130,Q05586,0
2130,Q12879,1
2130,Q13224,1
2130,Q14957,0
2130,O15399,0
62436,Q8TCU5,1
62436,P14416,0
6433106,Q8TCU5,0
104758,Q05932,0
104758,P04818,0
446355,Q13255,0
446355,P23385,0
446355,P31421,0
446355,Q14416,0
446355,Q14832,0
446355,P31424,0
446355,Q14831,0
3000715,Q13002,1
3000715,P42262,1
3000715,P43681,0
3000715,P20309,1
3000715,P36544,0
3000715,O00519,1
3000715,P14867,0
3000715,P47869,0
3000715,P34903,0
3000715,P48169,0
3000715,P31644,0
3000715,Q16445,0
3000715,Q63734,0
2481,Q13002,0
2481,P42262,0
2481,P43681,0
2481,P36544,1
2481,P14867,1
2481,P47869,1
2481,P34903,1
2481,P48169,0
2481,P31644,1
2481,Q16445,1
2481,P18505,1
2481,P47870,0
2481,P28472,1
2481,O14764,0
2481,P78334,1
2481,Q8N1C3,1
2481,P18507,0
2481,Q99928,1
2481,O00591,0
2481,Q9UN88,0
8275,Q13002,0
8275,P42262,1
8275,P43681,0
8275,P36544,0
8275,P14867,0
8275,P47869,0
8275,P34903,0
8275,P48169,0
8275,P31644,1
8275,Q16445,1
8275,P18505,1
8275,P47870,1
8275,P28472,0
8275,O14764,1
8275,P78334,0
8275,Q8N1C3,1
8275,P18507,0
8275,Q99928,1
8275,O00591,0
8275,Q9UN88,1
4099,Q13002,1
4099,P42262,0
4099,P43681,1
4099,P36544,0
4099,P14867,1
4099,P47869,1
4099,P34903,0
4099,P48169,1
4099,P31644,1
4099,Q16445,0
4099,P18505,0
4099,P47870,1
4099,P28472,0
4099,O14764,0
4099,P78334,0
4099,Q8N1C3,0
4099,P18507,0
4099,Q99928,1
4099,O00591,1
4099,Q9UN88,0
4909,Q13002,1
4909,P42262,1
4909,P43681,0
4909,P36544,1
4909,P14867,0
4909,P47869,1
4909,P34903,0
4909,P48169,1
4909,P31644,1
4909,Q16445,1
4909,P18505,1
4909,P47870,1
4909,P28472,0
4909,O14764,0
4909,P78334,1
4909,Q8N1C3,1
4909,P18507,1
4909,Q99928,0
4909,O00591,0
4909,Q9UN88,0
4909,Q9HCF6,1
8271,Q13002,0
8271,P42262,0
8271,O75469,1
8271,P43681,0
8271,P36544,0
8271,P18505,1
8271,P47870,0
8271,P28472,1
8271,O14764,1
8271,P78334,0
8271,Q8N1C3,0
8271,P18507,1
8271,Q99928,0
8271,O00591,0
8271,Q9UN88,0
8271,P14867,0
8271,P47869,1
8271,P34903,1
8271,P48169,1
8271,P31644,0
8271,Q16445,1
2164,Q13002,0
2164,P42262,1
2164,P43681,1
2164,P36544,0
2164,P18505,0
2164,P47870,0
2164,P28472,1
2164,O14764,1
2164,P78334,1
2164,Q8N1C3,1
2164,P18507,0
2164,Q99928,1
2164,O00591,1
2164,Q9UN88,0
2164,P14867,0
2164,P47869,0
2164,P34903,1
2164,P48169,0
2164,P31644,1
2164,Q16445,1
6464,Q13002,0
6464,P42262,0
6464,P43681,0
6464,P36544,1
6464,P18505,0
6464,P47870,0
6464,P28472,1
6464,O14764,1
6464,P78334,0
6464,Q8N1C3,0
6464,P18507,0
6464,Q99928,0
6464,O00591,1
6464,Q9UN88,0
6464,P14867,0
6464,P47869,1
6464,P34903,1
6464,P48169,0
6464,P31644,1
6464,Q16445,0
6473,Q13002,1
6473,P42262,1
6473,P43681,0
6473,P36544,1
6473,P18505,1
6473,P47870,1
6473,P28472,0
6473,O14764,0
6473,P78334,0
6473,Q8N1C3,1
6473,P18507,0
6473,Q99928,0
6473,O00591,1
6473,Q9UN88,1
6473,P14867,0
6473,P47869,1
6473,P34903,1
6473,P48169,1
6473,P31644,0
6473,Q16445,0
10518,Q13002,1
10518,P42262,1
10518,P43681,0
10518,P36544,1
10518,P14867,0
10518,P47869,1
10518,P34903,0
10518,P48169,0
10518,P31644,1
10518,Q16445,0
3608,Q13002,1
3608,P42262,1
3608,P43681,0
3608,P36544,0
3608,P18505,0
3608,P47870,1
3608,P28472,0
3608,O14764,1
3608,P78334,0
3608,Q8N1C3,0
3608,P18507,0
3608,Q99928,1
3608,O00591,0
3608,Q9UN88,0
3608,P14867,1
3608,P47869,0
3608,P34903,1
3608,P48169,1
3608,P31644,1
3608,Q16445,1
2294,Q13002,1
2294,P42262,0
2294,P43681,1
2294,P36544,1
2294,P18505,0
2294,P47870,0
2294,P28472,0
2294,O14764,1
2294,P78334,0
2294,Q8N1C3,0
2294,P18507,1
2294,Q99928,0
2294,O00591,1
2294,Q9UN88,1
2294,P14867,0
2294,P47869,0
2294,P34903,0
2294,P48169,1
2294,P31644,1
2294,Q16445,0
3003157,Q13002,1
3003157,P42262,0
3003157,P43681,0
3003157,P36544,1
3003157,P14867,1
3003157,P47869,1
3003157,P34903,1
3003157,P48169,1
3003157,P31644,0
3003157,Q16445,0
2479,Q13002,1
2479,P42262,0
2479,P43681,0
2479,P36544,1
2479,P14867,1
2479,P47869,1
2479,P34903,0
2479,P48169,1
2479,P31644,0
2479,Q16445,1
2479,P18505,1
2479,P47870,1
2479,P28472,0
2479,O14764,0
2479,P78334,0
2479,Q8N1C3,1
2479,P18507,1
2479,Q99928,0
2479,O00591,0
2479,Q9UN88,0
40539,Q13002,0
40539,P42262,0
40539,Q9UPY5,0
40539,P23385,0
40539,P31424,1
131704245,Q13002,1
53461739,P42262,1
53461739,Q14524,1
53461739,P14867,1
53461739,P47869,0
53461739,O00180,1
447195,P42262,0
158397,P42262,1
447249,P42262,1
447196,P42262,1
447196,P39086,0
657004,P42262,1
131704239,P42262,0
3899541,P42262,1
167842,P42262,0
440053,P42262,0
5288598,P42262,0
5288598,P39086,0
5289517,P42262,1
22489160,P42262,0
5288002,P42262,1
44129629,P42262,1
44129630,P42262,0
44129631,P42262,1
28486,P42263,1
28486,P49841,0
28486,O14732,0
28486,P29218,1
DB14507,P42263,0
DB14507,P49841,0
DB14507,O14732,1
DB14507,P29218,1
DB14508,P42263,0
DB14508,P49841,0
DB14508,O14732,0
DB14508,P29218,0
DB14509,P42263,0
DB14509,P49841,1
DB14509,O14732,0
DB14509,P29218,0
5961,P15104,0
5961,Q06203,1
5961,P17812,0
5961,Q5T6X5,0
5961,Q99624,1
1030,P00488,1
1030,P51698,1
1030,Q05581,1
1030,P0A9S1,0
1030,Q8GEZ8,0
65249,P00488,0
445768,P51698,0
263,P51698,1
169148,P51698,0
10442,P51698,0
10442,P84077,1
641237,P51698,1
11,P51698,0
446627,P51698,0
67427,Q05581,0
441123,Q05581,0
447048,P0A9S1,0
447048,P04406,0
447048,Q9NXA8,0
447048,P00438,0
447048,P13639,1
447048,P83844,0
447048,P26397,1
447048,Q84CU3,0
447048,O33199,1
447048,P45799,1
447048,Q9NTG7,0
9750,P35228,0
9750,P29474,0
9750,P00966,1
9750,P29475,1
9750,P00480,1
9750,O95865,1
9750,O94760,1
9750,Q5T6L4,0
9750,Q9UM07,1
9750,Q6TGC4,1
9750,Q9ULC6,1
9750,Q9ULW8,1
9750,Q9Y2J8,0
9750,Q5T6X5,0
4189,P35228,0
4189,P29474,1
4189,Q12809,1
4189,P10613,0
4189,O15554,1
4189,Q9H252,0
4189,Q12791,0
4189,Q9NS40,0
4189,O75469,0
4189,Q9Y691,0
4189,Q16558,1
4189,Q9NPA1,0
4189,Q86W47,0
4189,Q92952,0
4189,Q9H2S1,0
4189,Q9UGI6,1
4189,O94759,0
4189,Q9NQA5,1
5743,P35228,1
5743,O75469,1
5743,P51843,0
5743,P04083,1
5743,P08235,1
5743,O54915,0
5743,P04150,1
123831,P35228,0
123831,P29474,1
448269,P35228,1
1649,P35228,1
1649,P29474,0
1649,P29475,0
1893,P35228,0
1893,P29474,1
1893,P29475,0
5139,P35228,1
5139,P29474,0
5139,P0A094,1
657073,P35228,0
5287494,P35228,1
5287494,P29475,1
24239,P35228,0
24239,P29474,1
123895,P35228,1
123895,P29474,0
123895,P29475,1
123895,P05089,0
123895,O34453,0
795,P35228,0
795,P99999,0
795,Q05603,1
795,P11309,0
795,P40859,1
795,P31677,1
795,Q46822,1
795,P74645,0
795,P23222,1
795,P09960,0
795,P06988,1
795,P0A6B1,0
795,P0ADA1,0
795,Q9NQX3,1
795,P17802,1
795,P26514,1
795,P04252,1
795,P31491,0
795,O34598,1
795,Q816R0,1
795,P14739,0
795,Q9ZNA2,0
795,Q14565,1
795,P02144,0
795,P54819,0
795,Q12965,0
449021,P35228,1
449021,P29475,1
2733514,P35228,0
119055,P35228,1
119055,P07101,0
119055,P00439,1
119055,P56740,0
119055,Q01782,1
119055,P61457,1
21501,P35228,0
21501,P29474,1
47938,P35228,1
46937031,P35228,1
16115747,P35228,0
9797857,P35228,0
24894153,P35228,1
24894155,P35228,0
9969613,P35228,0
11740318,P35228,1
10157080,P35228,0
24894151,P35228,1
24941258,P35228,1
11149707,P35228,0
11149707,P29474,1
10221335,P35228,1
9886249,P35228,0
82315,P35228,1
24894149,P35228,0
9458,P35228,0
9458,Q9Y233,0
9458,P19838,1
9458,P23219,0
9822750,P35228,0
9822750,P29474,1
9822750,Q13936,1
9822750,Q01668,0
DB11327,P35228,1
DB11327,P35354,0
5962,O43246,1
5962,Q8WY07,1
5962,P30825,0
5962,Q15046,0
5962,P52569,0
5962,Q5T6X5,1
1433,P29474,1
1433,P29475,1
1433,P35228,0
656910,P29474,0
656910,P29475,0
656911,P29474,0
656911,P29475,0
656912,P29474,0
656912,P29475,0
347590,P29474,0
347590,P29475,1
24798097,P29474,1
24798097,P29475,1
25021186,P29474,1
25021186,P29475,1
44257,P29474,1
44257,P07101,0
44257,P00439,1
44257,P17752,1
439202,P29474,0
3387240,P29474,1
1337,P29474,1
15689,P29474,0
449633,P29474,1
445109,P29474,1
11740154,P29474,0
2513,P29474,1
2513,P15121,0
2513,P12497,0
2513,P11488,1
1894,P29474,1
107984,P29474,0
6323220,P29474,0
1331,P29474,1
1331,P35228,0
6323235,P29474,0
17753880,P29474,1
17753880,P12497,1
17753880,P03300,1
17753880,O60603,1
17753880,P16753,1
17753880,Q13426,0
17753880,Q9Y678,0
17753880,P0A745,1
9085,P29474,0
445319,P29474,1
181426,P29474,1
24941263,P29474,0
6914633,P29474,1
6914633,P00797,0
4478249,P04424,0
4478249,P28845,1
4478249,P09417,1
4478249,P30041,0
4478249,P00521,0
4478249,P09211,1
4478249,P22303,1
4478249,P06276,1
4478249,P20932,1
4478249,P15291,1
4478249,O68601,0
4478249,P23946,1
4478249,P22906,1
4478249,P17169,0
4478249,P25006,1
4478249,Q01770,1
4478249,P00861,1
4478249,Q9ZAG3,0
4478249,P49424,0
4478249,P31434,1
4478249,P0ACC7,1
4478249,P0A9B2,1
4478249,P0AEG6,0
4478249,Q88H32,1
4478249,Q9FCA6,1
4478249,Q84FH6,0
4478249,P60355,0
4478249,P0A6Y5,0
4478249,P76270,0
4478249,P0A8D6,0
4478249,P52664,1
4478249,P45314,1
4478249,Q9Y468,1
4478249,P54548,0
4478249,Q9X9L0,0
4478249,Q9X5N2,1
4478249,Q8IWL2,1
4478249,Q6NXR0,1
4478249,P36405,1
448718,P04424,0
448718,P59846,1
446122,P78540,1
446122,P05089,0
57525501,P29475,0
57525501,Q01782,0
57525501,P15121,0
57525501,Q13423,1
57525501,Q04828,0
57525501,P14061,0
57525501,P28845,0
57525501,P00374,1
57525501,P00325,1
57525501,P04035,0
57525501,Q92506,0
57525501,P40925,0
57525501,P42330,1
57525501,P30043,0
57525501,P48163,1
57525501,P11586,0
57525501,P52895,1
57525501,Q7Z4W1,1
57525501,P35270,0
57525501,P11413,1
57525501,Q08257,0
57525501,P16100,0
57525501,P08200,1
57525501,O75874,1
57525501,P67910,1
57525501,P11411,0
57525501,P16184,0
57525501,P44801,1
57525501,P14941,1
57525501,P32055,1
57525501,P15770,0
57525501,P42593,0
57525501,P0ABQ4,1
57525501,P0AEK2,1
57525501,P0C188,0
57525501,P16435,0
57525501,P46336,1
57525501,P06632,1
57525501,P16544,0
57525501,Q8I814,0
57525501,Q59931,1
57525501,P21890,0
57525501,P38038,0
57525501,P58558,1
57525501,Q6UWP2,0
57525501,P76187,0
57525501,Q16698,1
57525501,Q9WYS2,1
57525501,Q9GV41,1
57525501,P80874,1
57525501,P55818,0
57525501,Q9X022,0
57525501,Q9WZS7,1
57525501,Q56694,1
57525501,Q9X0A2,1
57525501,Q14914,1
57525501,P0CG22,1
57525501,P14550,1
57525501,O60218,0
57525501,P22570,0
284,P29475,1
284,Q9NQX3,0
284,P09601,0
284,O31465,1
284,P16544,1
284,P00918,1
284,O14936,1
284,P05230,1
284,Q9X278,0
284,P0A733,0
284,P05041,1
284,Q59643,0
284,Q46891,0
284,P0A6D3,0
284,P00780,0
284,P0A6K3,1
284,P0A7E1,1
284,Q60099,0
284,P22629,1
284,P0A1V8,0
284,O07347,0
284,Q9X0N8,0
284,P42321,0
284,Q27796,1
284,Q13363,0
284,P9WPE1,0
284,P9WKE9,0
284,Q81C15,0
284,P80357,1
284,P39841,1
284,Q9X0V0,0
284,P75914,0
284,Q7DC80,0
284,O34714,1
284,Q81F54,1
284,Q99418,0
284,Q06700,1
284,Q9WXS0,0
284,P77872,1
284,Q9X0F9,1
284,Q8MU52,1
284,P77454,0
284,P30749,0
284,Q9X0L5,1
284,Q9Z4N6,1
284,Q5SHZ4,1
284,P07998,0
284,P20472,0
284,P14621,0
284,Q9BVM4,0
447029,P29475,0
447030,P29475,0
3311,P29475,1
643975,P29475,0
643975,P40859,1
643975,P00387,1
643975,P16083,1
643975,Q16795,0
643975,P00390,1
643975,P09622,0
643975,P16219,1
643975,P42593,0
643975,P16435,0
643975,P21890,1
643975,P38038,0
643975,P58558,0
643975,P22570,1
643975,P27338,1
643975,P21397,1
643975,P15559,1
643975,P06715,1
643975,P06149,1
643975,P26440,1
643975,Q9UKU7,0
643975,Q12882,1
643975,O95831,0
643975,P22637,0
643975,P37063,1
643975,P9WIQ3,1
643975,Q9WYT0,1
643975,P83223,1
643975,P00438,1
643975,P20586,1
643975,P12676,0
643975,P28593,0
643975,O31616,0
643975,P39662,0
643975,P37747,1
643975,P11310,0
643975,Q56839,0
643975,P09546,1
643975,Q92947,1
643975,P61497,1
643975,Q16881,1
643975,P0C278,1
643975,P0AEZ1,1
643975,P0A9P4,0
643975,P47989,1
643975,Q52437,1
643975,P37062,1
643975,P09063,1
643975,Q9LAG2,0
643975,Q7SID9,0
643975,Q9Z4P0,0
643975,P24232,0
643975,Q06319,1
643975,Q9AGP8,1
643975,Q44532,1
643975,P18925,0
643975,Q888A4,0
643975,P00914,1
643975,P05327,1
643975,P10902,0
